"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2006","624.90","622.60","630.00","622.50","","0.67%"
"12/25/2006","620.75","620.75","621.25","620.25","","-0.04%"
"12/22/2006","621.00","618.60","621.70","618.25","","0.40%"
"12/21/2006","618.50","620.50","622.75","618.20","","-0.35%"
"12/20/2006","620.65","622.95","624.75","619.35","","-0.34%"
"12/19/2006","622.75","616.35","622.95","615.35","","1.10%"
"12/18/2006","615.95","615.65","618.75","612.05","","0.11%"
"12/15/2006","615.25","625.65","629.65","614.95","","-1.73%"
"12/14/2006","626.05","628.75","629.55","625.55","","-0.49%"
"12/13/2006","629.15","630.15","630.85","623.75","","-0.14%"
"12/12/2006","630.05","630.35","631.50","627.05","","-0.06%"
"12/11/2006","630.45","625.15","631.05","623.35","","0.85%"
"12/08/2006","625.15","634.15","638.55","625.15","","-1.17%"
"12/07/2006","632.55","631.25","632.85","625.65","","0.16%"
"12/06/2006","631.55","643.65","643.65","629.95","","-1.93%"
"12/05/2006","643.95","646.45","649.25","638.95","","-0.30%"
"12/04/2006","645.90","645.25","648.20","640.90","","0.02%"
"12/01/2006","645.80","648.00","650.00","643.90","","-0.39%"
"11/30/2006","648.30","636.50","649.00","636.50","","1.84%"
"11/29/2006","636.60","639.70","640.90","635.00","","-0.53%"
"11/28/2006","640.00","640.80","642.20","632.70","","-0.20%"
"11/27/2006","641.30","639.00","642.25","637.20","","0.49%"
"11/24/2006","638.20","631.00","640.30","631.00","","1.10%"
"11/23/2006","631.25","630.30","631.80","629.00","","0.17%"
"11/22/2006","630.20","627.60","634.90","626.40","","0.51%"
"11/21/2006","627.00","623.00","629.60","622.25","","0.69%"
"11/20/2006","622.70","621.50","627.00","620.90","","0.11%"
"11/17/2006","622.00","618.90","622.70","614.80","","0.53%"
"11/16/2006","618.70","623.00","628.60","618.20","","-0.63%"
"11/15/2006","622.60","621.00","625.50","615.80","","0.27%"
"11/14/2006","620.90","625.60","629.40","619.50","","-0.83%"
"11/13/2006","626.10","629.10","632.90","620.80","","-0.41%"
"11/10/2006","628.70","633.40","637.00","626.50","","-0.79%"
"11/09/2006","633.70","615.90","636.00","615.40","","2.91%"
"11/08/2006","615.77","625.27","626.98","613.27","","-1.46%"
"11/07/2006","624.90","623.10","629.40","622.20","","0.29%"
"11/06/2006","623.10","626.50","629.90","622.90","","-0.78%"
"11/03/2006","628.00","624.00","629.00","617.50","","0.71%"
"11/02/2006","623.60","617.50","625.90","614.50","","0.89%"
"11/01/2006","618.10","606.40","619.20","605.70","","1.90%"
"10/31/2006","606.60","604.50","607.80","598.50","","0.35%"
"10/30/2006","604.50","599.00","611.00","598.70","","0.74%"
"10/27/2006","600.05","596.95","600.05","592.15","","0.59%"
"10/26/2006","596.55","591.75","599.25","590.45","","0.83%"
"10/25/2006","591.65","585.25","591.65","580.35","","1.25%"
"10/24/2006","584.35","581.75","584.45","573.85","","0.40%"
"10/23/2006","582.05","590.75","593.25","579.85","","-1.66%"
"10/20/2006","591.90","600.30","602.70","591.80","","-1.23%"
"10/19/2006","599.30","589.70","600.80","586.70","","1.59%"
"10/18/2006","589.90","590.10","595.50","587.40","","-0.08%"
"10/17/2006","590.40","597.25","598.00","585.90","","-0.94%"
"10/16/2006","596.00","591.00","596.30","590.25","","1.02%"
"10/13/2006","590.00","578.50","590.80","577.40","","1.97%"
"10/12/2006","578.60","573.00","579.00","571.20","","0.92%"
"10/11/2006","573.30","573.20","579.30","570.50","","0.05%"
"10/10/2006","573.00","577.30","581.60","569.30","","-0.64%"
"10/09/2006","576.70","575.50","581.25","572.00","","0.51%"
"10/06/2006","573.80","573.40","573.80","560.40","","-0.03%"
"10/05/2006","574.00","567.50","574.75","562.50","","1.31%"
"10/04/2006","566.60","574.50","581.00","559.90","","-1.41%"
"10/03/2006","574.70","596.00","598.25","574.20","","-3.44%"
"10/02/2006","595.20","598.50","604.20","595.20","","-0.52%"
"09/29/2006","598.30","601.25","604.00","595.00","","-0.76%"
"09/28/2006","602.90","602.60","607.00","600.90","","0.42%"
"09/27/2006","600.40","592.10","600.40","590.00","","1.47%"
"09/26/2006","591.70","587.00","594.25","586.30","","0.85%"
"09/25/2006","586.70","589.25","591.10","582.50","","-0.27%"
"09/22/2006","588.30","585.50","593.00","584.50","","0.68%"
"09/21/2006","584.30","576.70","584.30","574.75","","1.34%"
"09/20/2006","576.60","573.00","586.80","572.80","","0.17%"
"09/19/2006","575.65","588.05","589.25","575.65","","-2.24%"
"09/18/2006","588.85","581.35","589.25","578.55","","1.55%"
"09/15/2006","579.85","576.85","581.85","571.95","","0.54%"
"09/14/2006","576.75","589.85","595.75","576.75","","-2.24%"
"09/13/2006","589.95","587.95","593.35","579.35","","0.37%"
"09/12/2006","587.75","590.75","599.75","584.65","","-0.68%"
"09/11/2006","591.75","610.15","611.15","583.35","","-3.12%"
"09/08/2006","610.80","617.20","619.75","606.70","","-0.96%"
"09/07/2006","616.70","633.50","636.50","615.30","","-2.65%"
"09/06/2006","633.50","638.50","640.75","633.10","","-0.80%"
"09/05/2006","638.60","627.30","640.50","626.50","","1.93%"
"09/04/2006","626.50","625.05","628.00","625.05","","0.16%"
"09/01/2006","625.50","625.30","628.10","620.05","","-0.22%"
"08/31/2006","626.90","619.10","627.60","618.10","","1.15%"
"08/30/2006","619.75","614.75","621.55","612.85","","1.14%"
"08/29/2006","612.75","614.35","618.25","607.55","","-0.21%"
"08/28/2006","614.05","622.35","624.25","613.25","","-1.48%"
"08/25/2006","623.25","620.25","624.65","618.55","","0.23%"
"08/24/2006","621.85","621.75","626.70","619.25","","-0.08%"
"08/23/2006","622.35","624.05","631.55","621.75","","-0.27%"
"08/22/2006","624.05","628.15","629.25","620.85","","-0.60%"
"08/21/2006","627.80","614.00","628.50","613.80","","2.08%"
"08/18/2006","615.00","613.80","619.15","607.40","","0.08%"
"08/17/2006","614.50","628.70","632.10","613.70","","-2.27%"
"08/16/2006","628.80","624.80","632.80","624.00","","0.61%"
"08/15/2006","625.00","626.40","628.70","621.00","","-0.67%"
"08/14/2006","629.20","633.40","633.40","623.90","","-0.55%"
"08/11/2006","632.70","637.50","645.55","626.50","","-0.39%"
"08/10/2006","635.17","650.48","654.12","634.27","","-2.38%"
"08/09/2006","650.65","644.25","655.30","636.50","","1.07%"
"08/08/2006","643.75","647.75","650.00","641.25","","-0.65%"
"08/07/2006","647.98","644.17","652.17","644.17","","0.24%"
"08/04/2006","646.45","645.35","654.85","643.75","","0.22%"
"08/03/2006","645.05","651.85","653.50","639.35","","-0.91%"
"08/02/2006","650.95","647.25","656.20","645.75","","0.58%"
"08/01/2006","647.20","636.00","647.60","630.50","","1.99%"
"07/31/2006","634.58","636.38","638.98","629.27","","-0.21%"
"07/28/2006","635.90","634.50","637.75","626.10","","0.32%"
"07/27/2006","633.88","624.12","640.88","624.12","","1.88%"
"07/26/2006","622.17","618.88","623.27","613.27","","0.44%"
"07/25/2006","619.45","615.25","624.00","610.15","","1.14%"
"07/24/2006","612.48","620.88","621.12","601.98","","-1.33%"
"07/21/2006","620.75","629.65","637.15","616.25","","-1.34%"
"07/20/2006","629.15","643.60","645.10","629.05","","-2.01%"
"07/19/2006","642.05","630.85","646.75","618.30","","1.72%"
"07/18/2006","631.20","642.90","654.50","628.10","","-1.86%"
"07/17/2006","643.15","668.75","676.75","642.85","","-3.31%"
"07/14/2006","665.15","663.45","668.50","659.55","","0.77%"
"07/13/2006","660.05","650.85","661.00","644.75","","1.35%"
"07/12/2006","651.25","641.05","656.05","639.75","","1.54%"
"07/11/2006","641.35","624.15","643.75","621.75","","2.77%"
"07/10/2006","624.05","630.25","632.75","620.75","","-1.03%"
"07/07/2006","630.55","633.65","637.75","627.75","","-0.54%"
"07/06/2006","633.95","628.85","635.50","622.75","","0.88%"
"07/05/2006","628.45","622.35","630.85","617.85","","1.04%"
"07/04/2006","622.00","624.00","624.00","617.00","","-0.40%"
"07/03/2006","624.50","618.00","625.55","617.00","","1.86%"
"06/30/2006","613.10","597.40","615.90","597.35","","2.53%"
"06/29/2006","598.00","580.40","598.00","579.40","","3.07%"
"06/28/2006","580.20","579.50","586.80","576.90","","-0.29%"
"06/27/2006","581.90","585.30","596.10","581.90","","-0.61%"
"06/26/2006","585.45","584.90","587.50","577.50","","0.36%"
"06/23/2006","583.35","580.85","586.45","571.85","","0.46%"
"06/22/2006","580.65","587.35","595.15","580.35","","-1.06%"
"06/21/2006","586.85","575.10","590.55","570.55","","1.80%"
"06/20/2006","576.50","565.50","576.70","561.00","","1.29%"
"06/19/2006","569.15","580.35","580.45","566.05","","-2.01%"
"06/16/2006","580.85","570.35","585.35","567.35","","1.90%"
"06/15/2006","570.00","560.55","576.80","554.25","","1.90%"
"06/14/2006","559.35","564.35","571.45","543.35","","-0.69%"
"06/13/2006","563.25","604.75","605.05","562.45","","-7.03%"
"06/12/2006","605.85","603.85","611.75","602.85","","-0.26%"
"06/09/2006","607.45","613.35","617.45","601.00","","-0.77%"
"06/08/2006","612.15","626.95","627.45","607.85","","-2.36%"
"06/07/2006","626.95","630.35","630.55","616.60","","-0.51%"
"06/06/2006","630.15","635.35","639.15","625.35","","-1.13%"
"06/05/2006","637.35","638.65","645.35","637.05","","-0.13%"
"06/02/2006","638.20","629.30","639.00","618.90","","1.37%"
"06/01/2006","629.60","643.30","645.40","621.30","","-2.19%"
"05/31/2006","643.70","653.10","659.70","638.90","","-1.39%"
"05/30/2006","652.80","651.80","665.00","648.60","","0.35%"
"05/29/2006","650.50","653.15","654.10","646.40","","-0.23%"
"05/26/2006","652.00","650.10","655.50","640.40","","0.18%"
"05/25/2006","650.80","642.60","651.30","639.00","","1.39%"
"05/24/2006","641.90","669.40","670.90","637.80","","-4.41%"
"05/23/2006","671.50","656.50","674.00","650.90","","2.33%"
"05/22/2006","656.20","656.60","661.65","636.60","","-0.21%"
"05/19/2006","657.60","683.90","688.90","651.40","","-3.62%"
"05/18/2006","682.30","686.90","694.50","678.80","","-1.10%"
"05/17/2006","689.90","688.90","716.40","685.70","","0.04%"
"05/16/2006","689.60","679.00","692.50","674.50","","1.25%"
"05/15/2006","681.10","714.20","721.00","678.10","","-4.71%"
"05/12/2006","714.80","714.20","730.50","708.30","","-0.63%"
"05/11/2006","719.30","709.10","726.50","704.75","","1.67%"
"05/10/2006","707.50","700.70","707.50","693.80","","0.96%"
"05/09/2006","700.80","679.00","701.00","677.75","","3.24%"
"05/08/2006","678.80","685.20","685.20","670.50","","-0.57%"
"05/05/2006","682.70","678.50","684.60","675.30","","0.78%"
"05/04/2006","677.40","667.90","677.90","660.90","","1.48%"
"05/03/2006","667.50","668.00","676.80","660.50","","-0.01%"
"05/02/2006","667.60","654.50","667.70","653.50","","1.44%"
"05/01/2006","658.10","654.60","661.60","652.40","","0.55%"
"04/28/2006","654.50","634.00","655.80","633.90","","3.23%"
"04/27/2006","634.00","639.40","643.50","627.70","","-0.78%"
"04/26/2006","639.00","630.70","640.90","628.60","","1.38%"
"04/25/2006","630.30","621.20","635.10","619.00","","1.45%"
"04/24/2006","621.30","639.50","639.50","619.20","","-2.00%"
"04/21/2006","634.00","610.65","634.40","610.60","","3.04%"
"04/20/2006","615.30","639.70","646.15","608.20","","-3.84%"
"04/19/2006","639.90","621.80","640.30","621.40","","2.94%"
"04/18/2006","621.60","614.20","622.10","612.50","","1.24%"
"04/17/2006","614.00","600.40","615.80","600.40","","2.37%"
"04/14/2006","599.80","596.75","599.80","595.75","","0.55%"
"04/13/2006","596.50","598.50","598.80","590.90","","-0.31%"
"04/12/2006","598.38","593.17","600.38","593.17","","0.82%"
"04/11/2006","593.50","600.10","604.40","593.10","","-1.08%"
"04/10/2006","600.00","589.15","600.30","588.30","","1.96%"
"04/07/2006","588.45","596.15","598.45","585.25","","-1.14%"
"04/06/2006","595.25","589.15","596.95","587.20","","1.09%"
"04/05/2006","588.85","585.95","589.85","582.35","","0.41%"
"04/04/2006","586.45","588.25","590.45","584.85","","-0.39%"
"04/03/2006","588.75","582.95","591.95","582.25","","0.87%"
"03/31/2006","583.65","588.75","589.15","579.05","","-0.85%"
"03/30/2006","588.65","573.45","589.15","571.45","","2.65%"
"03/29/2006","573.45","564.75","574.05","560.45","","1.59%"
"03/28/2006","564.50","567.00","569.30","563.20","","-0.43%"
"03/27/2006","566.95","559.95","568.75","558.65","","1.16%"
"03/24/2006","560.45","550.15","561.15","548.95","","1.87%"
"03/23/2006","550.15","550.85","551.45","545.05","","-0.07%"
"03/22/2006","550.55","552.05","553.70","547.15","","-0.24%"
"03/21/2006","551.85","554.75","555.45","547.35","","-0.47%"
"03/20/2006","554.45","554.55","556.65","550.15","","0.11%"
"03/17/2006","553.85","555.45","557.95","552.15","","-0.25%"
"03/16/2006","555.25","553.05","557.05","547.55","","0.23%"
"03/15/2006","553.95","551.20","557.35","550.45","","0.36%"
"03/14/2006","551.95","546.05","552.45","542.75","","1.06%"
"03/13/2006","546.15","541.20","546.95","540.95","","1.07%"
"03/10/2006","540.35","545.45","547.30","534.05","","-1.04%"
"03/09/2006","546.05","543.70","550.55","540.30","","0.40%"
"03/08/2006","543.85","552.45","554.20","538.45","","-1.65%"
"03/07/2006","552.95","555.15","559.20","548.75","","-0.47%"
"03/06/2006","555.55","565.95","568.60","552.55","","-1.68%"
"03/03/2006","565.05","569.45","570.95","564.65","","-0.65%"
"03/02/2006","568.75","562.45","568.75","562.20","","0.87%"
"03/01/2006","563.85","561.15","566.95","560.60","","0.37%"
"02/28/2006","561.75","553.70","561.95","553.20","","1.19%"
"02/27/2006","555.15","558.35","559.10","552.55","","-0.68%"
"02/24/2006","558.95","547.45","559.95","547.45","","1.74%"
"02/23/2006","549.38","554.62","554.73","548.27","","-0.90%"
"02/22/2006","554.35","554.65","555.45","547.45","","0.09%"
"02/21/2006","553.85","555.60","556.35","551.35","","-0.40%"
"02/20/2006","556.05","552.20","557.05","551.95","","0.71%"
"02/17/2006","552.15","546.45","554.45","544.45","","1.08%"
"02/16/2006","546.25","538.45","546.45","535.45","","1.17%"
"02/15/2006","539.95","547.95","548.20","535.95","","-1.40%"
"02/14/2006","547.62","538.38","547.62","534.88","","1.59%"
"02/13/2006","539.05","550.35","551.95","539.05","","-2.16%"
"02/10/2006","550.95","564.25","568.95","547.05","","-2.31%"
"02/09/2006","563.95","551.35","566.95","549.65","","2.38%"
"02/08/2006","550.85","549.05","553.25","545.35","","0.36%"
"02/07/2006","548.85","569.95","571.25","548.15","","-3.69%"
"02/06/2006","569.85","569.20","573.95","568.70","","0.39%"
"02/03/2006","567.65","572.25","574.15","565.05","","-0.84%"
"02/02/2006","572.45","569.45","575.05","567.65","","0.58%"
"02/01/2006","569.15","568.95","571.85","563.75","","0.04%"
"01/31/2006","568.95","568.25","572.65","566.05","","-0.04%"
"01/30/2006","569.15","558.45","569.35","558.35","","1.72%"
"01/27/2006","559.55","559.70","564.35","555.95","","-0.11%"
"01/26/2006","560.15","563.55","563.85","554.85","","-0.59%"
"01/25/2006","563.45","558.45","566.65","556.85","","0.85%"
"01/24/2006","558.70","559.50","560.15","552.65","","-0.09%"
"01/23/2006","559.20","553.40","560.50","549.40","","0.98%"
"01/20/2006","553.80","557.90","568.00","553.40","","-0.75%"
"01/19/2006","558.00","543.15","558.00","558.00","","2.57%"
"01/18/2006","544.00","554.60","544.00","544.00","","-1.89%"
"01/17/2006","554.50","561.40","554.50","554.50","","-1.37%"
"01/16/2006","562.20","556.90","562.20","562.20","","0.96%"
"01/13/2006","556.88","546.38","556.88","556.88","","1.58%"
"01/12/2006","548.20","549.40","548.20","548.20","","-0.15%"
"01/11/2006","549.00","541.90","549.00","549.00","","1.19%"
"01/10/2006","542.55","549.10","542.55","542.55","","-1.20%"
"01/09/2006","549.12","539.38","549.12","549.12","","1.75%"
"01/06/2006","539.65","525.35","539.65","539.65","","2.78%"
"01/05/2006","525.05","534.60","525.05","525.05","","-1.78%"
"01/04/2006","534.55","534.60","534.55","534.55","","0.18%"
"01/03/2006","533.60","517.15","533.60","533.60","","3.09%"
"12/30/2005","517.60","515.40","517.60","517.60","","0.30%"
"12/29/2005","516.05","516.75","516.05","516.05","","0.04%"
"12/28/2005","515.85","507.85","515.85","515.85","","1.56%"
"12/27/2005","507.95","504.85","507.95","507.95","","0.58%"
"12/26/2005","505.00","504.50","505.00","505.00","","0.40%"
"12/23/2005","503.00","504.20","503.00","503.00","","-0.16%"
"12/22/2005","503.80","495.40","503.80","503.80","","1.78%"
"12/21/2005","495.00","492.70","495.00","495.00","","0.47%"
"12/20/2005","492.70","504.00","492.70","492.70","","-2.22%"
"12/19/2005","503.90","504.90","503.90","503.90","","0.12%"
"12/16/2005","503.30","502.90","503.30","503.30","","0.04%"
"12/15/2005","503.10","504.90","503.10","503.10","","-0.52%"
"12/14/2005","505.75","518.85","505.75","505.75","","-2.53%"
"12/13/2005","518.88","525.88","518.88","518.88","","-1.78%"
"12/12/2005","528.30","527.40","528.30","528.30","","0.43%"
"12/09/2005","526.05","520.85","526.05","526.05","","0.97%"
"12/08/2005","521.00","515.20","521.00","521.00","","1.13%"
"12/07/2005","515.20","511.20","515.20","515.20","","0.74%"
"12/06/2005","511.40","509.90","511.40","511.40","","0.40%"
"12/05/2005","509.38","504.38","509.38","509.38","","1.19%"
"12/02/2005","503.40","504.15","503.40","503.40","","0.00%"
"12/01/2005","503.38","493.88","503.38","503.38","","1.93%"
"11/30/2005","493.85","499.35","493.85","493.85","","-1.25%"
"11/29/2005","500.10","498.65","500.10","500.10","","0.30%"
"11/28/2005","498.60","497.15","498.60","498.60","","0.51%"
"11/25/2005","496.07","493.62","496.07","496.07","","0.55%"
"11/24/2005","493.38","493.62","493.38","493.38","","0.26%"
"11/23/2005","492.10","493.90","492.10","492.10","","-0.46%"
"11/22/2005","494.38","491.62","494.38","494.38","","0.66%"
"11/21/2005","491.15","485.10","491.15","491.15","","1.10%"
"11/18/2005","485.80","485.65","485.80","485.80","","0.18%"
"11/17/2005","484.95","479.10","484.95","484.95","","1.16%"
"11/16/2005","479.38","468.68","479.38","479.38","","2.38%"
"11/15/2005","468.25","469.35","468.25","468.25","","0.05%"
"11/14/2005","468.00","469.40","468.00","468.00","","-0.15%"
"11/11/2005","468.70","466.90","468.70","468.70","","0.34%"
"11/10/2005","467.10","466.90","467.10","467.10","","0.17%"
"11/09/2005","466.30","460.60","466.30","466.30","","1.02%"
"11/08/2005","461.60","459.45","461.60","461.60","","0.46%"
"11/07/2005","459.50","457.00","459.50","459.50","","0.64%"
"11/04/2005","456.60","461.40","456.60","456.60","","-0.89%"
"11/03/2005","460.70","463.40","460.70","460.70","","-0.46%"
"11/02/2005","462.85","459.15","462.85","462.85","","0.77%"
"11/01/2005","459.30","465.30","459.30","459.30","","-1.27%"
"10/31/2005","465.20","472.90","465.20","465.20","","-1.74%"
"10/28/2005","473.45","474.35","473.45","473.45","","-0.09%"
